planet_name,star_name,discovery_method,discovery_year,facility,radius_earth_units,mass_earth_units,star_temp_k,distance_pc,data_reliability,planet_type,habitability_potential
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,2.586,4914.89848585,4874.0,93.1846,Confirmed Study,Giant,Medium
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,2.586,4684.8142,4213.0,125.321,Confirmed Study,Giant,Medium
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,2.586,1131.15130051,4888.0,75.4392,Confirmed Study,Giant,Medium
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,2.586,2828.6728223,5338.0,17.9323,Confirmed Study,Giant,Medium
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,2.586,565.7374,5750.0,21.1397,Confirmed Study,Giant,Medium
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,2.586,1373.01871824,4157.0,124.953,Confirmed Study,Giant,Medium
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,2.586,2926.24614325,4980.0,76.222,Confirmed Study,Giant,Medium
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,18.647,3000.0,4060.0,139.135,Confirmed Study,Giant,Medium
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,2.586,280.64248338,4816.0,95.9863,Confirmed Study,Giant,Medium
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,2.586,632.46,5098.0,72.0691,Confirmed Study,Giant,Medium
24 Sex c,24 Sex,Radial Velocity,2010.0,Lick Observatory,2.586,273.32,5098.0,72.0691,Confirmed Study,Giant,Medium
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,Subaru Telescope,15.69257298,1271.313628,3100.0,128.484,Confirmed Study,Giant,Low
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,Paranal Observatory,15.69257298,4131.79,4385.5,94.6177,Confirmed Study,Giant,Medium
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,W. M. Keck Observatory,11.209,7786.5,3530.0,33.8281,Confirmed Study,Giant,Low
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,Cerro Tololo Inter-American Observatory,16.14096,4417.837,3064.0,94.6177,Confirmed Study,Giant,Low
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,Mauna Kea Observatory,15.69257298,3686.8095212,4385.5,66.0613,Confirmed Study,Giant,Medium
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,15.69257298,5720.911326,4385.5,117.435,Confirmed Study,Giant,Medium
